Date,StockCode,Description,Country,QuantitySold,Revenue,UnitPrice
2011-04-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-04-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,0.83,0.83
2011-04-26,15036,ASSORTED COLOURS SILK FAN,United Kingdom,615,444.45,0.7749999999999999
2011-04-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,94,86.02,1.0966666666666667
2011-04-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,60,43.199999999999996,0.72
2011-05-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-05-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,221,187.42999999999998,1.0966666666666667
2011-05-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,665,489.15,1.0025
2011-05-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,74,63.019999999999996,1.23
2011-05-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-05-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,306,253.98,0.8299999999999998
2011-05-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,266,220.77999999999997,0.83
2011-05-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,70,58.099999999999994,0.83
2011-05-12,15036,ASSORTED COLOURS SILK FAN,Germany,720,489.6,0.74
2011-05-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,219,181.76999999999998,0.83
2011-05-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,25,20.75,0.83
2011-05-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-05-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,124,104.52,0.9633333333333333
2011-05-17,15036,ASSORTED COLOURS SILK FAN,Australia,600,432.0,0.72
2011-05-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-05-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,720,531.6,0.7749999999999999
2011-05-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,78,69.53999999999999,0.9633333333333333
2011-05-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-05-22,15036,ASSORTED COLOURS SILK FAN,Germany,12,9.959999999999999,0.83
2011-05-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,96,79.67999999999999,0.83
2011-05-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,60,49.8,0.83
2011-05-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,118,173.14,1.3633333333333333
2011-05-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,15,24.45,1.63
2011-05-26,15036,ASSORTED COLOURS SILK FAN,United Kingdom,144,119.52,0.83
2011-05-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-05-29,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-05-31,15036,ASSORTED COLOURS SILK FAN,United Kingdom,30,48.89999999999999,1.63
2011-06-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,26,23.18,1.23
2011-06-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,97,74.71,0.968
2011-06-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,40,36.4,1.0966666666666667
2011-06-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,27,24.81,1.23
2011-06-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,136,183.27999999999997,1.31
2011-06-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,672,449.76,0.7849999999999999
2011-06-09,15036,ASSORTED COLOURS SILK FAN,Germany,48,39.839999999999996,0.83
2011-06-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,714,531.42,1.0025
2011-06-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-06-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-06-13,15036,ASSORTED COLOURS SILK FAN,Germany,12,9.959999999999999,0.83
2011-06-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,71,67.72999999999999,1.0966666666666667
2011-06-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,68,110.83999999999999,1.63
2011-06-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-06-16,15036,ASSORTED COLOURS SILK FAN,Germany,300,249.0,0.83
2011-06-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,726,536.58,0.8116666666666666
2011-06-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.879999999999995,0.83
2011-06-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,60,49.8,0.83
2011-06-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,18,19.74,1.3633333333333333
2011-06-21,15036,ASSORTED COLOURS SILK FAN,Netherlands,12,9.959999999999999,0.83
2011-06-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,26,32.78,1.3633333333333333
2011-06-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.879999999999995,0.83
2011-06-23,15036,ASSORTED COLOURS SILK FAN,Denmark,12,9.959999999999999,0.83
2011-06-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,37,31.509999999999998,1.03
2011-06-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,16,16.479999999999997,1.23
2011-06-26,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-06-27,15036,ASSORTED COLOURS SILK FAN,France,36,29.88,0.83
2011-06-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.88,0.83
2011-06-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-06-29,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,8.149999999999999,1.63
2011-06-30,15036,ASSORTED COLOURS SILK FAN,United Kingdom,30,29.699999999999996,1.23
2011-07-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-07-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-07-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,35,37.849999999999994,1.3633333333333333
2011-07-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1846,1341.38,1.0599999999999998
2011-07-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,38,33.14,1.23
2011-07-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,19,21.369999999999997,1.3633333333333333
2011-07-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,156,129.48,0.83
2011-07-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.879999999999995,0.83
2011-07-14,15036,ASSORTED COLOURS SILK FAN,EIRE,24,19.919999999999998,0.83
2011-07-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,73,61.39,1.0299999999999998
2011-07-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,4.89,1.63
2011-07-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,60,49.8,0.83
2011-07-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,173,147.59,1.0966666666666667
2011-07-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-07-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,73,80.58999999999999,1.23
2011-07-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,72,59.76,0.83
2011-07-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-07-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,156,129.48,0.83
2011-07-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,9,14.669999999999998,1.63
2011-07-26,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,8.149999999999999,1.63
2011-07-29,15036,ASSORTED COLOURS SILK FAN,United Kingdom,624,451.92,0.7933333333333333
2011-08-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-08-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-08-04,15036,ASSORTED COLOURS SILK FAN,Sweden,720,518.4,0.72
2011-08-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,25,31.15,1.3633333333333333
2011-08-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,114,166.61999999999998,1.0966666666666667
2011-08-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-08-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,17,18.11,1.23
2011-08-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,4.89,1.63
2011-08-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,50,43.099999999999994,1.0299999999999998
2011-08-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-08-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,150,129.29999999999998,1.0299999999999998
2011-08-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-08-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-08-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-08-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-08-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-08-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-08-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-08-30,15036,ASSORTED COLOURS SILK FAN,United Kingdom,93,151.58999999999997,1.63
2011-08-31,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,4.89,1.63
2011-09-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,34.56,0.72
2011-09-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,13,21.189999999999998,1.63
2011-09-04,15036,ASSORTED COLOURS SILK FAN,France,12,9.959999999999999,0.83
2011-09-04,15036,ASSORTED COLOURS SILK FAN,Germany,12,9.959999999999999,0.83
2011-09-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-09-07,15036,ASSORTED COLOURS SILK FAN,EIRE,12,9.959999999999999,0.83
2011-09-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,8.149999999999999,1.63
2011-09-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,126,109.38,1.23
2011-09-09,15036,ASSORTED COLOURS SILK FAN,Norway,48,39.839999999999996,0.83
2011-09-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-09-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,40,36.4,1.0966666666666667
2011-09-14,15036,ASSORTED COLOURS SILK FAN,EIRE,12,9.959999999999999,0.83
2011-09-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-09-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,45,44.55,1.43
2011-09-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-09-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,2,3.26,1.63
2011-09-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,14,13.219999999999999,1.23
2011-09-29,15036,ASSORTED COLOURS SILK FAN,United Kingdom,14,13.219999999999999,1.23
2011-10-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,96,79.67999999999999,0.83
2011-10-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,601,433.63,1.1749999999999998
2011-10-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-10-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-10-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,62,53.059999999999995,1.0966666666666667
2011-10-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,16,16.479999999999997,1.3633333333333333
2011-10-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.88,0.83
2011-10-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,84,69.72,0.83
2011-10-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,26,23.18,1.23
2011-10-17,15036,ASSORTED COLOURS SILK FAN,Sweden,72,59.76,0.83
2011-10-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,15,14.849999999999998,1.23
2011-10-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,8.149999999999999,1.63
2011-10-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,18,19.74,1.23
2011-10-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-10-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.879999999999995,0.83
2011-10-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,6.52,1.63
2011-10-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,25,21.549999999999997,1.23
2011-10-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-10-30,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-10-31,15036,ASSORTED COLOURS SILK FAN,United Kingdom,15,24.45,1.63
2011-11-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,29.879999999999995,0.83
2011-11-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,27,24.81,1.3633333333333333
2011-11-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,4.89,1.63
2011-11-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,2,3.26,1.63
2011-11-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,9,14.669999999999998,1.63
2011-11-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,39.839999999999996,0.83
2011-11-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-11-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,14,13.219999999999999,1.23
2011-11-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-11-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,30,29.699999999999996,1.23
2011-11-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,61,51.43,1.0966666666666667
2011-11-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-11-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-11-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-11-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,2,3.26,1.63
2011-11-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,84,69.72,0.83
2011-11-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,113,97.78999999999999,1.0966666666666667
2011-11-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,14,13.219999999999999,1.23
2011-11-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,84,69.72,0.83
2011-11-29,15036,ASSORTED COLOURS SILK FAN,United Kingdom,2,3.26,1.63
2011-11-30,15036,ASSORTED COLOURS SILK FAN,United Kingdom,2,3.26,1.63
2011-12-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-12-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,54,49.62,1.0966666666666667
2011-12-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,8.149999999999999,1.63
2011-12-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,8,13.04,1.63
2011-12-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2010-12-01,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2010-12-05,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,4,1.68,0.42
2010-12-08,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1000,320.0,0.32
2010-12-09,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1,0.42,0.42
2010-12-13,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,4,1.68,0.42
2010-12-19,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-01-25,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-02-15,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1500,480.0,0.32
2011-02-22,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1,0.42,0.42
2011-03-17,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,60,25.2,0.42
2011-03-23,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1000,320.0,0.32
2011-04-15,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-04-18,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,3,1.26,0.42
2011-04-27,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-05-05,16014,SMALL CHINESE STYLE SCISSOR,Poland,20,8.4,0.42
2011-05-06,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,2001,640.42,0.37
2011-05-08,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,600,192.0,0.32
2011-05-10,16014,SMALL CHINESE STYLE SCISSOR,Germany,20,8.4,0.42
2011-05-11,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,30,12.6,0.42
2011-05-12,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,80,33.6,0.42
2011-05-25,16014,SMALL CHINESE STYLE SCISSOR,Poland,20,8.4,0.42
2011-06-08,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,20,6.4,0.32
2011-06-19,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,12,5.04,0.42
2011-07-07,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,20,8.4,0.42
2011-07-13,16014,SMALL CHINESE STYLE SCISSOR,Poland,20,8.4,0.42
2011-07-15,16014,SMALL CHINESE STYLE SCISSOR,Poland,20,8.4,0.42
2011-08-11,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-08-17,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1,0.42,0.42
2011-08-23,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,20,8.4,0.42
2011-08-24,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,2004,641.68,0.37
2011-08-25,16014,SMALL CHINESE STYLE SCISSOR,Germany,20,8.4,0.42
2011-08-28,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-09-08,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1000,320.0,0.32
2011-09-09,16014,SMALL CHINESE STYLE SCISSOR,Norway,20,8.4,0.42
2011-09-21,16014,SMALL CHINESE STYLE SCISSOR,Germany,20,8.4,0.42
2011-09-23,16014,SMALL CHINESE STYLE SCISSOR,EIRE,20,8.4,0.42
2011-09-26,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1,0.42,0.42
2011-10-11,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-10-16,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-10-19,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,20,8.4,0.42
2011-11-02,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,3020,968.4,0.37
2011-11-06,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,1,0.42,0.42
2011-11-09,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-11-22,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,10,4.2,0.42
2011-11-25,16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,500,160.0,0.32
